Designator,Mid X,Mid Y,Layer,Rotation
C1,4.95,2.01,Top,270
C2,10.92,2.01,Top,270
C3,13.59,18.29,Top,0
C4,17.78,18.16,Top,180
C5,15.04,5.99,Top,180
C6,18.62,5.99,Top,0
C7,18.54,11.94,Top,0
C8,15.11,11.94,Top,180
IC1,8,2.41,Top,0
IC2,16.89,9.4,Top,0
IC3,16.76,15.37,Top,0
IC4,16.87,3.43,Top,0
K2,5.08,10.52,Top,90
R1,11.4,6.02,Top,270
R2,9.73,5.99,Top,270
RN1,21.77,18.52,Top,0
RN2,11.63,10.41,Top,270
